conversion_id,user_id,order_id,converted_at,order_value_usd,dma_code
6fc82337-4318-4626-b67b-f8f3cbd4cd1c,USR_10000,ORD_100001,2026-02-08 01:00:00,46.2,DMA_140_LOUISVILLE
56f46673-23a6-4318-80de-cdeeedd05e86,USR_10001,ORD_100002,2026-03-29 08:14:00,78.21,DMA_127_CHARLOTTE
77a26e37-4fa3-4349-84f7-b0a70c09e1a3,USR_10002,ORD_100003,2026-03-28 03:10:00,76.67,DMA_113_SAN_DIEGO
f7bb6c01-fe65-4bfd-b513-822ef45e3c0a,USR_10004,ORD_100004,2026-05-22 09:58:00,110.53,DMA_105_SEATTLE
18f34bb2-eac8-47c2-96ef-ee046d9623f3,USR_10007,ORD_100005,2026-06-24 21:00:00,68.17,DMA_117_MINNEAPOLIS
da70d6be-1828-4465-99e1-0cfd44c3ccdd,USR_10008,ORD_100006,2026-04-27 18:00:00,68.07,DMA_131_INDIANAPOLIS
52ace0e6-6b2b-4599-8fea-8e839e3fc4c9,USR_10010,ORD_100007,2026-02-19 17:00:00,146.92,DMA_148_ALBUQUERQUE
a6a0e008-77fe-44e4-9a21-038413b0dc40,USR_10011,ORD_100008,2026-01-15 07:41:00,31.13,DMA_115_HOUSTON
4f44592b-de41-4d41-abec-58cbe8db4624,USR_10012,ORD_100009,2026-02-06 15:00:00,59.03,DMA_105_SEATTLE
a82e7b0f-c385-4ea5-a077-7fdd39db5fdc,USR_10014,ORD_100010,2026-04-21 11:32:00,22.88,DMA_106_AUSTIN
092cb59c-2e3b-4002-9ac1-f6f3337838d1,USR_10017,ORD_100011,2026-02-16 08:34:00,37.51,DMA_127_CHARLOTTE
3d632c2a-ac8b-4d12-b6d0-9aa3226a68e9,USR_10018,ORD_100012,2026-01-20 14:56:00,80.47,DMA_115_HOUSTON
5f28b26f-992c-4b6b-9c0e-4264a9edbd73,USR_10022,ORD_100013,2026-02-23 00:00:00,107.19,DMA_105_SEATTLE
2207f49e-bbab-4e84-a692-dc642b8c5c92,USR_10023,ORD_100014,2026-04-01 06:00:00,61.48,DMA_142_BUFFALO
6aa060a6-0219-4707-9775-c3d62159351b,USR_10024,ORD_100015,2026-01-03 21:57:00,51.07,DMA_133_KANSAS_CITY
121106b6-cb6f-4c4d-b584-93740d14d5e8,USR_10026,ORD_100016,2026-06-01 14:00:00,89.72,DMA_147_GREENVILLE
0feb1b6e-3a9c-4465-ae88-177e906988e2,USR_10028,ORD_100017,2026-02-15 13:00:00,476.75,DMA_135_MILWAUKEE
392558cf-4b83-4bd8-95d7-161c52cc1725,USR_10029,ORD_100018,2026-03-27 13:56:00,121.12,DMA_111_PHOENIX
445f24eb-f94a-45eb-8068-ec482d13b400,USR_10036,ORD_100019,2026-02-14 19:41:00,40.26,DMA_147_GREENVILLE
dd435e56-a917-4894-9ad3-655b23cdae61,USR_10037,ORD_100020,2026-04-20 15:00:00,34.81,DMA_119_ORLANDO
ae8d55b5-733a-495d-95e3-c09312236143,USR_10039,ORD_100021,2026-05-08 19:00:00,110.63,DMA_115_HOUSTON
1087e801-46b9-42e6-a929-e9c44d18e938,USR_10040,ORD_100022,2026-02-15 22:38:00,27.62,DMA_114_SAN_JOSE
99dad0b5-8b0e-42c5-bbd3-deeed1630bb5,USR_10042,ORD_100023,2026-05-16 17:43:00,89.22,DMA_129_SALT_LAKE_CITY
86f5076f-a109-486e-b581-e265f49aa069,USR_10045,ORD_100024,2026-03-23 17:10:00,103.95,DMA_121_CLEVELAND
