event_id,user_id,timestamp,channel,utm_source,utm_medium,campaign_name,dma_code
1979a1d3-627b-4409-9283-ef3ba4165ad7,USR_10000,2026-01-29 00:00:00,google_paid_search,Google,cpc,Q1_Prospecting,DMA_140_LOUISVILLE
3784faf1-eb97-464a-a58e-4fc58d831101,USR_10000,2026-01-30 10:00:00,email_crm,klaviyo,email,q1_prospecting,DMA_140_LOUISVILLE
4e320513-be21-44f8-a291-5384af7ac88b,USR_10000,2026-02-01 19:00:00,meta_paid_social,,cpc,Q1_Prospecting,DMA_140_LOUISVILLE
fddc7dcd-d691-45d5-b3b8-54172507f99a,USR_10000,2026-02-05 23:00:00,email_crm,newsletter,email,q1_brand_awareness,DMA_140_LOUISVILLE
64f0fc56-bab3-4e6e-9d9e-b5e88803dbd1,USR_10001,2026-03-29 08:00:00,google_organic,google,organic,brand_organic,DMA_127_CHARLOTTE
636628c0-3c7d-4c77-ab81-dea9fe82ece8,USR_10002,2026-03-28 03:00:00,google_organic,google,organic,brand_organic,DMA_113_SAN_DIEGO
9440daba-ee2e-4111-9ba9-1c4107ce1fc9,USR_10003,2026-01-25 11:00:00,google_paid_search,google_cpc,cpc,q1_prospecting,DMA_124_PORTLAND
c3b9bcb9-3570-49a6-9919-3d84bd0d678c,USR_10003,2026-01-31 11:00:00,tiktok_ads,tiktok_cpc,cpc,q1_prospecting,DMA_124_PORTLAND
246e0904-90bb-4e0b-bbfc-2c1d4bcd3222,USR_10004,2026-05-22 09:00:00,google_organic,google,organic,brand_organic,DMA_105_SEATTLE
7295ddc4-cadb-4e95-aeae-8086687f7bb5,USR_10005,2026-06-08 11:00:00,meta_paid_social,meta,cpc,q2_retargeting,DMA_140_LOUISVILLE
cfa9efd8-d633-4687-b0e3-a56a66d6d2e0,USR_10005,2026-06-14 11:00:00,meta_paid_social,META,cpc,q2_retargeting,DMA_140_LOUISVILLE
fb107a8d-3ae3-407e-800a-8e8f00c031aa,USR_10005,2026-06-21 11:00:00,meta_paid_social,meta,cpc,,DMA_140_LOUISVILLE
4d7ca2f9-d48f-4e07-9634-0969a487c4b4,USR_10006,2026-06-12 11:00:00,tiktok_ads,TikTok,cpc,Q2_Retargeting,DMA_129_SALT_LAKE_CITY
